time,open,high,low,close,Volume,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5
2004-07-28,114214.1769,115305.0195,113712.9789,114184.6946,0,113367.2233,112909.9272,113848.102,114384.3315,115013.8945
2004-07-29,113595.0178,115061.8956,112802.9038,114563.1571,0,114184.6946,113367.2233,112909.9272,113848.102,114384.3315
2004-08-02,115452.4307,116366.38,114744.8571,116042.0754,0,114563.1571,114184.6946,113367.2233,112909.9272,113848.102
2004-08-03,116510.2932,116687.9003,115711.061,115918.2693,0,116042.0754,114563.1571,114184.6946,113367.2233,112909.9272
2004-08-04,115603.5135,116105.3674,115426.3886,115751.1176,0,115918.2693,116042.0754,114563.1571,114184.6946,113367.2233
2004-08-05,115562.023,118244.0286,115503.0778,117742.9946,0,115751.1176,115918.2693,116042.0754,114563.1571,114184.6946
2004-08-09,118665.9139,118903.1864,118161.7098,118161.7098,0,117742.9946,115751.1176,115918.2693,116042.0754,114563.1571
2004-08-10,118716.6639,119103.9453,117063.2699,117733.5648,0,118161.7098,117742.9946,115751.1176,115918.2693,116042.0754
2004-08-11,117335.3938,118181.7767,116771.1386,116771.1386,0,117733.5648,118161.7098,117742.9946,115751.1176,115918.2693
2004-08-12,116864.0607,119805.719,116715.4921,118498.3153,0,116771.1386,117733.5648,118161.7098,117742.9946,115751.1176
2004-08-16,119872.5925,120947.1476,119574.105,120857.6014,0,118498.3153,116771.1386,117733.5648,118161.7098,117742.9946
2004-08-17,120669.8378,120699.6255,119657.0571,120401.7488,0,120857.6014,118498.3153,116771.1386,117733.5648,118161.7098
2004-08-18,120141.8421,121211.8833,120141.8421,120795.7562,0,120401.7488,120857.6014,118498.3153,116771.1386,117733.5648
2004-08-19,120534.4349,122818.1828,120237.8443,122313.9787,0,120795.7562,120401.7488,120857.6014,118498.3153,116771.1386
2004-08-23,121940.9979,122149.4441,119826.7584,119916.0925,0,122313.9787,120795.7562,120401.7488,120857.6014,118498.3153
2004-08-24,120036.5227,121556.3496,120036.5227,121288.1449,0,119916.0925,122313.9787,120795.7562,120401.7488,120857.6014
2004-08-25,121779.7748,122407.8139,121002.2026,121630.2417,0,121288.1449,119916.0925,122313.9787,120795.7562,120401.7488
2004-08-26,121734.8473,122333.4942,120028.7037,120597.4182,0,121630.2417,121288.1449,119916.0925,122313.9787,120795.7562
2004-08-30,122965.8673,123748.7058,122544.3388,123297.0682,0,120597.4182,121630.2417,121288.1449,119916.0925,122313.9787
2004-08-31,122576.5475,122696.2511,121798.4737,122247.3624,0,123297.0682,120597.4182,121630.2417,121288.1449,119916.0925
2004-09-01,121778.0901,124162.3895,120913.7816,120973.3891,0,122247.3624,123297.0682,120597.4182,121630.2417,121288.1449
2004-09-02,120934.2391,121410.9446,118938.0346,119384.9461,0,120973.3891,122247.3624,123297.0682,120597.4182,121630.2417
2004-09-06,119874.5859,119934.1805,118265.531,118623.0988,0,119384.9461,120973.3891,122247.3624,123297.0682,120597.4182
2004-09-07,119118.0852,119716.2177,118220.8865,119267.6183,0,118623.0988,119384.9461,120973.3891,122247.3624,123297.0682
2004-09-08,118994.1602,119591.0709,118695.7048,119203.0789,0,119267.6183,118623.0988,119384.9461,120973.3891,122247.3624
2004-09-09,119065.9496,120109.0805,118857.3234,119930.2581,0,119203.0789,119267.6183,118623.0988,119384.9461,120973.3891
2004-09-13,118084.9692,119168.3175,117938.5708,118816.9613,0,119930.2581,119203.0789,119267.6183,118623.0988,119384.9461
2004-09-14,118727.5903,119006.0527,118185.3213,118683.6225,0,118816.9613,119930.2581,119203.0789,119267.6183,118623.0988
2004-09-15,117030.3572,117319.3924,116336.6727,116856.9361,0,118683.6225,118816.9613,119930.2581,119203.0789,119267.6183
2004-09-16,117480.8663,118236.3703,117248.4036,117800.5026,0,116856.9361,118683.6225,118816.9613,119930.2581,119203.0789
2004-09-20,117417.9216,118955.261,117330.9024,118781.2226,0,117800.5026,116856.9361,118683.6225,118816.9613,119930.2581
2004-09-21,120571.7619,120571.7619,119070.1356,119835.6706,0,118781.2226,117800.5026,116856.9361,118683.6225,118816.9613
2004-09-22,119325.3418,120791.2551,119266.7053,120204.8898,0,119835.6706,118781.2226,117800.5026,116856.9361,118683.6225
2004-09-23,120059.8899,120557.6992,119210.6858,119357.1003,0,120204.8898,119835.6706,118781.2226,117800.5026,116856.9361
2004-09-27,121216.5934,122462.2741,121216.5934,122254.6606,0,119357.1003,120204.8898,119835.6706,118781.2226,117800.5026
2004-09-28,121658.2964,122425.6704,121392.6669,121805.8683,0,122254.6606,119357.1003,120204.8898,119835.6706,118781.2226
2004-09-29,121314.9297,123137.4462,120962.1845,123078.6553,0,121805.8683,122254.6606,119357.1003,120204.8898,119835.6706
2004-09-30,123011.3477,123363.8999,122541.2781,123040.7271,0,123078.6553,121805.8683,122254.6606,119357.1003,120204.8898
2004-10-04,120837.4396,122560.7679,120413.9098,122093.4246,0,123040.7271,123078.6553,121805.8683,122254.6606,119357.1003
2004-10-05,122200.9367,122844.0995,121616.2432,122113.2327,0,122093.4246,123040.7271,123078.6553,121805.8683,122254.6606
2004-10-06,122072.9446,122686.6702,121985.2695,121985.2695,0,122113.2327,122093.4246,123040.7271,123078.6553,121805.8683
2004-10-07,121851.0723,123865.3809,121851.0723,123398.2948,0,121985.2695,122113.2327,122093.4246,123040.7271,123078.6553
2004-10-11,123811.3805,123972.8608,121227.695,121785.5362,0,123398.2948,121985.2695,122113.2327,122093.4246,123040.7271
2004-10-12,121652.1749,122092.0936,120127.1235,121886.7982,0,121785.5362,123398.2948,121985.2695,122113.2327,122093.4246
2004-10-13,121557.7739,124802.8227,121142.6415,122142.4674,0,121886.7982,121785.5362,123398.2948,121985.2695,122113.2327
2004-10-14,122061.8719,123142.8411,119563.9566,122295.5949,0,122142.4674,121886.7982,121785.5362,123398.2948,121985.2695
2004-10-18,121425.2678,122679.1791,120987.8569,122533.3754,0,122295.5949,122142.4674,121886.7982,121785.5362,123398.2948
2004-10-19,122533.3754,124166.3762,122358.4111,123554.0009,0,122533.3754,122295.5949,122142.4674,121886.7982,121785.5362
2004-10-20,123554.0009,124224.6976,122839.5631,123554.0009,0,123554.0009,122533.3754,122295.5949,122142.4674,121886.7982
2004-10-21,123622.1122,124030.5875,122907.2806,123709.6426,0,123554.0009,123554.0009,122533.3754,122295.5949,122142.4674
2004-10-25,125268.8896,125415.0951,124245.4509,124742.5497,0,123709.6426,123554.0009,123554.0009,122533.3754,122295.5949
2004-10-26,124907.1358,125551.2889,123355.3125,124145.864,0,124742.5497,123709.6426,123554.0009,123554.0009,122533.3754
2004-10-27,123845.9618,124780.6483,122911.2753,123875.1708,0,124145.864,124742.5497,123709.6426,123554.0009,123554.0009
2004-10-28,123816.7529,125218.7826,123816.7529,125043.5289,0,123875.1708,124145.864,124742.5497,123709.6426,123554.0009
2004-11-01,124653.5886,124682.7814,121880.2652,122843.6301,0,125043.5289,123875.1708,124145.864,124742.5497,123709.6426
2004-11-02,123353.1166,125060.4971,122796.6804,124846.7085,0,122843.6301,125043.5289,123875.1708,124145.864,124742.5497
2004-11-03,123953.9948,126168.4996,123050.7099,124973.8325,0,124846.7085,122843.6301,125043.5289,123875.1708,124145.864
2004-11-04,124932.4641,126418.0215,123796.4497,126301.5072,0,124973.8325,124846.7085,122843.6301,125043.5289,123875.1708
2004-11-08,125034.4334,126248.9215,124629.6041,125757.343,0,126301.5072,124973.8325,124846.7085,122843.6301,125043.5289
2004-11-09,126400.5315,127301.5241,125697.1761,126080.8245,0,125757.343,126301.5072,124973.8325,124846.7085,122843.6301
2004-11-10,126331.8704,126826.9469,125836.7939,126564.8476,0,126080.8245,125757.343,126301.5072,124973.8325,124846.7085
2004-11-11,125405.1123,126617.0347,125116.5593,126270.7711,0,126564.8476,126080.8245,125757.343,126301.5072,124973.8325
2004-11-15,126035.0869,127393.099,125905.0644,126959.6909,0,126270.7711,126564.8476,126080.8245,125757.343,126301.5072
2004-11-16,126973.1685,128591.7657,126915.3614,128476.1516,0,126959.6909,126270.7711,126564.8476,126080.8245,125757.343
