Date,USD,IDR
9/2/2014,"1.265,30 (-1.359,19)","477.343 (-886.395,35)"
9/3/2014,"1.269,20 (-1.355,29)","480.732 (-883.006,18)"
9/4/2014,"1.267,90 (-1.356,59)","479.384 (-884.354,62)"
9/5/2014,"1.265,40 (-1.359,09)","478.845 (-884.893,02)"
9/6/2014,"1.269,20 (-1.355,29)","480.283 (-883.455,04)"
9/7/2014,"1.269,20 (-1.355,29)","480.283 (-883.455,04)"
9/8/2014,"1.252,90 (-1.371,59)","472.182 (-891.556,72)"
9/9/2014,"1.250,10 (-1.374,39)","472.413 (-891.325,82)"
9/10/2014,"1.245,10 (-1.379,39)","471.644 (-892.094,46)"
9/11/2014,"1.238,30 (-1.386,19)","471.019 (-892.719,50)"
9/12/2014,"1.233,20 (-1.391,29)","469.079 (-894.659,41)"
